2025-09-16 11:04:19 | INFO     | main | export_to_gcs:58 | Exported 290000 documents
2025-09-16 11:04:19 | INFO     | main | export_to_gcs:58 | Exported 291000 documents
2025-09-16 11:04:19 | INFO     | main | export_to_gcs:58 | Exported 292000 documents
2025-09-16 11:04:19 | INFO     | main | export_to_gcs:58 | Exported 293000 documents
2025-09-16 11:04:19 | INFO     | main | export_to_gcs:58 | Exported 294000 documents
2025-09-16 11:04:19 | INFO     | main | export_to_gcs:58 | Exported 295000 documents
2025-09-16 11:04:19 | INFO     | main | export_to_gcs:58 | Exported 296000 documents
2025-09-16 11:04:19 | INFO     | main | export_to_gcs:58 | Exported 297000 documents
2025-09-16 11:04:19 | INFO     | main | export_to_gcs:58 | Exported 298000 documents
2025-09-16 11:04:19 | INFO     | main | export_to_gcs:58 | Exported 299000 documents
2025-09-16 11:04:19 | INFO     | main | export_to_gcs:58 | Exported 300000 documents
2025-09-16 11:04:19 | INFO     | main | export_to_gcs:58 | Exported 301000 documents
2025-09-16 11:04:19 | INFO     | main | export_to_gcs:58 | Exported 302000 documents
2025-09-16 11:04:19 | INFO     | main | export_to_gcs:58 | Exported 303000 documents
2025-09-16 11:04:19 | INFO     | main | export_to_gcs:58 | Exported 304000 documents
2025-09-16 11:04:19 | INFO     | main | export_to_gcs:58 | Exported 305000 documents
2025-09-16 11:04:19 | INFO     | main | export_to_gcs:58 | Exported 306000 documents
